"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"159","Adelie","Dream",40.2,20.1,200,3975,"male",2009
"160","Gentoo","Biscoe",45.2,14.8,212,5200,"female",2009
"161","Gentoo","Biscoe",49.8,16.8,230,5700,"male",2008
"162","Gentoo","Biscoe",48.4,14.4,203,4625,"female",2009
"163","Adelie","Biscoe",37.8,18.3,174,3400,"female",2007
"164","Gentoo","Biscoe",45.5,15,220,5000,"male",2008
"165","Adelie","Biscoe",38.6,17.2,199,3750,"female",2009
"166","Gentoo","Biscoe",49,16.1,216,5550,"male",2007
"167","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"168","Adelie","Dream",40.6,17.2,187,3475,"male",2009
"169","Adelie","Torgersen",36.2,17.2,187,3150,"female",2009
"170","Adelie","Biscoe",37.8,20,190,4250,"male",2009
"171","Adelie","Biscoe",40.6,18.6,183,3550,"male",2007
"172","Adelie","Dream",39.5,17.8,188,3300,"female",2007
"173","Gentoo","Biscoe",46.1,15.1,215,5100,"male",2007
"174","Adelie","Torgersen",45.8,18.9,197,4150,"male",2008
"175","Adelie","Dream",35.6,17.5,191,3175,"female",2009
"176","Adelie","Dream",36.6,18.4,184,3475,"female",2009
"177","Gentoo","Biscoe",48.7,15.7,208,5350,"male",2008
"178","Gentoo","Biscoe",47.5,14,212,4875,"female",2009
"179","Adelie","Biscoe",35,17.9,190,3450,"female",2008
"180","Gentoo","Biscoe",42.6,13.7,213,4950,"female",2008
"181","Adelie","Dream",38.3,19.2,189,3950,"male",2008
"182","Gentoo","Biscoe",49.4,15.8,216,4925,"male",2009
"183","Adelie","Dream",41.1,17.5,190,3900,"male",2009
"184","Gentoo","Biscoe",45,15.4,220,5050,"male",2008
"185","Gentoo","Biscoe",43.2,14.5,208,4450,"female",2008
"186","Gentoo","Biscoe",46.9,14.6,222,4875,"female",2009
"187","Chinstrap","Dream",43.5,18.1,202,3400,"female",2009
"188","Adelie","Dream",35.7,18,202,3550,"female",2008
"189","Adelie","Dream",42.2,18.5,180,3550,"female",2007
"190","Gentoo","Biscoe",43.5,14.2,220,4700,"female",2008
"191","Adelie","Dream",38.1,17.6,187,3425,"female",2009
"192","Gentoo","Biscoe",48.5,15,219,4850,"female",2009
"193","Chinstrap","Dream",46.7,17.9,195,3300,"female",2007
"194","Adelie","Torgersen",41.4,18.5,202,3875,"male",2009
"195","Adelie","Biscoe",41.4,18.6,191,3700,"male",2008
"196","Gentoo","Biscoe",46.2,14.9,221,5300,"male",2008
"197","Adelie","Dream",39.2,21.1,196,4150,"male",2007
"198","Chinstrap","Dream",49,19.6,212,4300,"male",2009
"199","Adelie","Torgersen",35.9,16.6,190,3050,"female",2008
"200","Gentoo","Biscoe",50.1,15,225,5000,"male",2008
